epoch,lr,train_loss,val_loss,dice_0,cls_acc,cls_auc,epoch_time_s,new_best,best_metric
172,0.00351,0.0233,-0.0203,0.9193,0.7549,0.7885,28.45,,
173,0.00346,0.0564,0.1436,0.8551,0.6275,0.7743,28.8,,
174,0.00342,0.0377,0.1147,0.8997,0.5392,0.7019,29.2,,
175,0.00338,-0.0012,0.0123,0.914,0.7451,0.8055,28.87,,
176,0.00334,-0.0023,0.1948,0.9037,0.6471,0.7206,28.93,,
177,0.0033,0.0024,0.4993,0.9018,0.5392,0.7049,30.06,,
178,0.00326,0.0395,0.4662,0.904,0.4216,0.7277,30.25,,
179,0.00322,0.0011,0.332,0.8971,0.4902,0.6963,28.87,,
180,0.00318,0.0369,0.0322,0.9174,0.7353,0.752,28.68,,
181,0.00314,-0.0181,0.0647,0.9139,0.7157,0.8196,28.65,,
182,0.0031,-0.0145,0.3273,0.884,0.5392,0.6722,29.26,,
183,0.00306,0.0144,0.2179,0.8924,0.5294,0.773,28.73,,
184,0.00302,0.0044,0.1345,0.8955,0.6275,0.8013,29.1,,
185,0.00297,-0.0489,0.1235,0.9155,0.7059,0.7306,28.13,,
186,0.00293,-0.0003,0.1833,0.8955,0.5882,0.7503,28.87,,
187,0.00289,-0.0103,0.033,0.8957,0.7255,0.7965,28.89,,
188,0.00285,-0.008,0.1289,0.8875,0.6765,0.6545,28.31,,
189,0.00281,0.0031,0.2686,0.8925,0.5882,0.6757,28.88,,
190,0.00277,0.0049,0.1546,0.9079,0.5784,0.778,29.02,,
191,0.00273,0.004,0.1054,0.9032,0.7059,0.8319,28.85,yes,1.7294000387191772
192,0.00268,-0.0364,0.1637,0.9117,0.6373,0.8049,28.68,,
193,0.00264,0.0305,0.0203,0.8932,0.7157,0.8125,28.56,,
194,0.0026,-0.0078,0.0576,0.8943,0.6863,0.7358,28.55,,
195,0.00256,0.0008,0.038,0.8913,0.7059,0.8341,29.42,yes,1.7312999963760376
196,0.00252,-0.0265,0.0293,0.9079,0.7059,0.8181,28.77,,
197,0.00248,-0.0166,-0.0123,0.9005,0.7647,0.7481,28.76,,
198,0.00243,-0.0272,0.1808,0.9076,0.5784,0.8012,28.8,,
199,0.00239,-0.0232,0.0666,0.8987,0.6765,0.8083,28.35,,
200,0.00235,0.0007,0.0717,0.8798,0.6569,0.788,28.96,,
201,0.00231,-0.0271,0.1065,0.9141,0.6863,0.8182,29.1,,
202,0.00226,-0.0122,0.0186,0.9021,0.6765,0.8459,28.12,yes,1.745300054550171
203,0.00222,-0.055,0.0177,0.916,0.7353,0.8362,28.81,,
204,0.00218,-0.03,0.0887,0.8936,0.6176,0.8043,28.98,,
205,0.00214,-0.0047,0.1623,0.8642,0.6471,0.8159,29.53,,
206,0.00209,-0.0548,0.077,0.8877,0.6667,0.8066,29.22,,
207,0.00205,-0.0368,0.1184,0.9282,0.6471,0.7327,28.92,,
208,0.00201,0.0407,0.3047,0.9035,0.4608,0.675,29.05,,
209,0.00196,-0.0356,0.0628,0.8957,0.6667,0.8185,28.67,,
210,0.00192,-0.0207,0.5271,0.878,0.4412,0.7,28.6,,
211,0.00188,-0.0423,0.5685,0.911,0.4314,0.7327,28.85,,
212,0.00184,-0.0423,0.2272,0.9124,0.6176,0.7923,28.63,,
213,0.00179,-0.0041,0.1652,0.8918,0.549,0.696,28.36,,
214,0.00175,-0.0461,0.2073,0.9069,0.6176,0.7188,28.99,,
215,0.0017,-0.0095,0.1686,0.9107,0.5882,0.66,28.65,,
