epoch,lr,train_loss,val_loss,dice_0,dice_1,dice_2,dice_3,cls_acc,cls_auc,epoch_time_s,new_best,best_metric
204,0.00218,-0.4021,-0.3388,0.9632,0.872,0.9355,0.8779,0.8125,0.918,73.6,,
205,0.00214,-0.4019,-0.3261,0.9687,0.8756,0.9378,0.892,0.875,0.8984,75.68,,
206,0.00209,-0.396,-0.3367,0.962,0.9109,0.9335,0.8644,0.7812,0.9531,74.96,,
207,0.00205,-0.4055,-0.3298,0.9547,0.88,0.9382,0.8852,0.875,0.9023,75.34,,
208,0.00201,-0.4013,-0.3385,0.9676,0.8665,0.9393,0.8729,0.875,0.9531,75.04,,
209,0.00196,-0.3995,-0.3325,0.9703,0.8783,0.9349,0.8991,0.75,0.8867,74.29,,
210,0.00192,-0.4008,-0.3539,0.9618,0.8821,0.9421,0.8953,0.875,0.9805,73.8,,
211,0.00188,-0.3984,-0.3361,0.9652,0.8763,0.9442,0.8875,0.7812,0.9141,73.1,,
212,0.00184,-0.3952,-0.3525,0.9635,0.8767,0.926,0.8757,0.9062,0.9805,75.49,,
213,0.00179,-0.3987,-0.3259,0.9583,0.8887,0.9441,0.8781,0.7812,0.8867,75.39,,
214,0.00175,-0.4009,-0.3218,0.9578,0.882,0.9429,0.8786,0.8125,0.918,75.59,,
215,0.0017,-0.3981,-0.3461,0.9595,0.8572,0.9395,0.9111,0.8438,0.918,76.11,,
216,0.00166,-0.3974,-0.3337,0.9697,0.8863,0.9464,0.9006,0.7812,0.9414,76.19,,
217,0.00162,-0.3961,-0.3071,0.9695,0.8694,0.935,0.9032,0.875,0.9102,76.52,,
218,0.00157,-0.3984,-0.3038,0.9679,0.834,0.9461,0.8874,0.75,0.8711,76.03,,
219,0.00153,-0.4063,-0.3306,0.9716,0.8378,0.9269,0.8721,0.8125,0.9453,75.0,,
220,0.00148,-0.3991,-0.2999,0.9631,0.8864,0.9364,0.8763,0.7812,0.8984,76.03,,
221,0.00144,-0.4039,-0.3067,0.9648,0.8646,0.9299,0.907,0.75,0.9414,75.31,,
222,0.00139,-0.3939,-0.3566,0.9712,0.838,0.9398,0.8657,0.875,0.9844,75.2,,
223,0.00135,-0.4013,-0.3299,0.9643,0.8464,0.9404,0.9026,0.8438,0.9688,74.53,,
224,0.0013,-0.4002,-0.3387,0.9523,0.8749,0.9384,0.8911,0.7812,0.9766,74.83,,
225,0.00126,-0.4022,-0.3099,0.9614,0.8843,0.9411,0.8979,0.8438,0.916,74.02,,
226,0.00121,-0.3998,-0.3094,0.9582,0.89,0.947,0.8778,0.75,0.8516,76.81,,
227,0.00117,-0.4022,-0.3294,0.9616,0.8857,0.9391,0.8917,0.8438,0.9531,76.19,,
228,0.00112,-0.4039,-0.3461,0.958,0.8817,0.9227,0.887,0.8125,0.9727,74.22,,
229,0.00108,-0.4007,-0.3489,0.9704,0.8802,0.9482,0.8735,0.875,0.9492,76.84,,
230,0.00103,-0.4035,-0.3213,0.9654,0.8972,0.9475,0.8923,0.75,0.8945,75.11,,
231,0.00098,-0.3996,-0.321,0.9621,0.8804,0.9242,0.892,0.9062,0.9805,75.07,,
232,0.00094,-0.3976,-0.2774,0.9705,0.8285,0.9461,0.8308,0.7188,0.8906,75.39,,
233,0.00089,-0.3988,-0.3151,0.9679,0.8534,0.9301,0.9012,0.7188,0.9102,73.19,,
234,0.00084,-0.4035,-0.3398,0.9688,0.8657,0.945,0.8982,0.7812,0.9414,75.91,,
235,0.00079,-0.398,-0.3051,0.9673,0.8698,0.9287,0.8836,0.8438,0.8906,75.81,,
236,0.00075,-0.3973,-0.3193,0.9615,0.9001,0.9328,0.9035,0.7812,0.9375,74.9,,
237,0.0007,-0.4013,-0.3094,0.9655,0.8726,0.9391,0.8886,0.7812,0.9336,75.74,,
238,0.00065,-0.4009,-0.3378,0.9699,0.891,0.9398,0.8774,0.8438,0.9609,75.02,,
239,0.0006,-0.4009,-0.2894,0.9612,0.8898,0.9295,0.8981,0.75,0.8516,75.02,,
240,0.00055,-0.4017,-0.3752,0.9698,0.8803,0.9436,0.9071,0.9375,0.9688,76.24,,
241,0.0005,-0.4028,-0.3582,0.9504,0.8988,0.9392,0.9057,0.7812,0.9336,75.91,,
242,0.00045,-0.3996,-0.3354,0.9664,0.8779,0.9432,0.8866,0.8438,0.9492,76.17,,
243,0.0004,-0.4024,-0.3708,0.9675,0.8464,0.9452,0.886,0.8125,0.9766,74.85,,
244,0.00035,-0.3998,-0.3714,0.9703,0.885,0.9487,0.9017,0.9062,0.9844,76.72,,
245,0.0003,-0.4051,-0.312,0.9689,0.8743,0.942,0.8893,0.75,0.8945,76.23,,
246,0.00024,-0.4028,-0.3359,0.9625,0.8578,0.937,0.9053,0.9062,0.9531,76.43,,
247,0.00019,-0.4024,-0.3746,0.9703,0.8823,0.9407,0.8836,0.9688,1.0,75.47,yes,1.9179999828338623
248,0.00013,-0.4036,-0.3362,0.9694,0.8656,0.9359,0.8772,0.9375,0.9883,74.34,,
